"Song","n"
"Thinking Out Loud",24
"This Ain't A Scene, It's An Arms Race",10
"This D.J.",10
"This I Promise You",16
"This Is How We Do It",17
"This Is What You Came For",26
"This Is Why I'm Hot",10
"This Kiss",22
"This Love",22
"This Used To Be My Playground",11
"Thnks Fr Th Mmrs",10
"Thong Song",17
"Thrift Shop",27
"Thunder",22
"TiK ToK",27
"Till The World Ends",14
"Timber",23
"Time After Time",10
"Time Of Our Lives",12
"Tipsy",19
"Titanium",15
"To Be With You",12
"Together Again",17
"Tom's Diner",10
"Tonight (I'm Lovin' You)",18
"Tonight Tonight",13
"Too Close",51
"Too Good",10
"Too Good At Goodbyes",19
"Too Little Too Late",10
"Tootsee Roll",21
"Total Eclipse Of The Heart",16
"Touch It",15
"Touch My Body",13
"Toxic",13
"Trampoline",16
"Trap Queen",34
"Treasure",15
"Treat You Better",19
"Trippin'",11
"Truly Madly Deeply",36
"Truth Hurts",50
"Try",12
"Try Again",22
"Tubthumping",19
"Turn Down For What",19
"Turn Me On",29
"Turn Off The Light",14
"Turn The Beat Around (From ""The Specialist"")",10
"Twisted",23
"Two Princes",13
"U + Ur Hand",13
"U Don't Have To Call",16
"U Got It Bad",23
"U Know What's Up",12
"U Remind Me",17
"Umbrella",17
"Un-Break My Heart",27
"Unbelievable",12
"Under The Bridge",14
"Underneath It All",17
"Unfaithful",14
"Unforgettable",29
"Unpredictable",10
"Unpretty",16
"Unskinny Bop",10
"Unwell",27
"Unwritten",21
"Uptown Funk!",42
"Use Somebody",16
"Vision Of Love",11
"Viva La Vida",22
"Vogue",10
"Waiting For Tonight",12
"Wake Me Up When September Ends",13
"Wake Me Up!",28
"Wake Up In The Sky",13
"Waking Up In Vegas",16
"Walk It Out",18
"Walk It Talk It",13
"Walked Outta Heaven",15
"Wannabe",17
"Want To Want Me",18
"Watch Me",30
"Water Runs Dry",19
"Waterfalls",21
"We Are Never Ever Getting Back Together",17
"We Are Young",26
"We Be Burnin'",12
"We Belong Together",27
"We Can't Stop",18
"We Fly High",15
"We Found Love",28
"We R Who We R",15
"Weak",18
"What A Girl Wants",16
"What About Your Friends",14
"What Do You Mean?",22
"What Goes Around...Comes Around",14
"What Is Love",10
"What Lovers Do",11
"What Makes You Beautiful",20
"What Would You Do?",18
"What You Know",10
"What You Want",12
"What's It Gonna Be?!",10
"What's Luv?",20
"What's My Name?",22
"Whatcha Say",21
"Whatever You Like",23
"Whatta Man",15
"When A Man Loves A Woman",12
"When Can I See You",17
"When I Grow Up",13
"When I Was Your Man",19
"When I'm Gone",27
"When The Lights Go Out",17
"When You Love A Woman",15
"Whenever, Wherever",14
"Where Are U Now",17
"Where Do You Go",27
"Where Have All The Cowboys Gone?",12
"Where Have You Been",17
"Where Is The Love?",15
"Where My Girls At?",33
"Where The Party At",18
"Where'd You Go",10
"Wherever You Will Go",21
"Whistle",16
"Who Knew",11
"Who Will Save Your Soul",16
"Whoomp! (There It Is)",32
"Whoot, There It Is",10
"Why Don't You & I",13
"Why I Love You So Much/Ain't Nobody",10
"Wide Awake",18
"Wiggle",10
"Wild Night",18
"Wild Ones",21
"Wild Thoughts",15
"Wild Wild West",12
"Wildest Dreams",16
"Wishing On A Star",10
"With Arms Wide Open",24
"With You",32
"Without Me",89
"Without You",24
"Without You/Never Forget You",16
"Womanizer",17
"Wonderful",17
"Work",23
"Work From Home",23
"Work It",19
"Work Out",11
"Worth It",15
"Wow.",62
"Wrecking Ball",20
"XO TOUR Llif3",21
"Yeah!",28
"Yes Indeed",15
"Yo (Excuse Me Miss)",13
"You",16
"You And I",10
"You And Me",21
"You Are Not Alone",12
"You Belong With Me",30
"You Don't Know My Name",13
"You Found Me",16
"You Gotta Be",19
"You Learn/You Oughta Know",14
"You Make Me Feel...",17
"You Make Me Wanna...",27
"You Mean The World To Me",19
"You Need To Calm Down",12
"You Sang To Me",15
"You Want This/70's Love Groove",13
"You'll See",11
"You're Beautiful",20
"You're In Love",10
"You're Makin' Me High/Let It Flow",23
"You're Still The One",29
"You're The One",12
"Young Forever",11
"Young, Wild & Free",19
"Youngblood",21
"Your Body's Callin'",10
"Your Love Is My Drug",16
"ZEZE",17
"iSpy",15
