"Song","Performer"
"Good Time","Owl City & Carly Rae Jepsen"
"Gone","Kanye West Featuring Cam'ron & Consequence"
"Love.","Kendrick Lamar Featuring Zacari"
"Every Time I Close My Eyes","Babyface"
"I Don't Want To Wait","Paula Cole"
"Get Lucky","Daft Punk Featuring Pharrell Williams"
"Make It Hot","Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha"
"Love Like This","Faith Evans"
"Empire State Of Mind","Glee Cast"
"Hold On, We're Going Home","Drake Featuring Majid Jordan"
"Him & I","G-Eazy & Halsey"
"Higher","DJ Khaled Featuring Nipsey Hussle & John Legend"
"Name","Goo Goo Dolls"
"Down Low (Nobody Has To Know)","R. Kelly Featuring Ronald Isley"
"Gone Till November","Wyclef Jean"
"On My Mind","Ellie Goulding"
"Memories","Maroon 5"
"Landslide","Glee Cast Featuring Gwyneth Paltrow"
"Everybody [Backstreet's Back]","Backstreet Boys"
"Hands","Jewel"
"Mirrors","Justin Timberlake"
"I Want You Back","'N Sync"
"I Believe I Can Fly (From ""Space Jam"")","R. Kelly"
"My Body","LSG"
"Dynamite","Taio Cruz"
"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy"
"Middle Child","J. Cole"
"I Can Love You Like That","All-4-One"
"It's All Coming Back To Me Now","Celine Dion"
"Gangsta's Paradise (From ""Dangerous Minds"")","Coolio Featuring L.V."
"G.H.E.T.T.O.U.T.","Changing Faces"
"It Will Rain","Bruno Mars"
"Drip Too Hard","Lil Baby & Gunna"
"Feel So Good","Mase"
"My Boo","Usher And Alicia Keys"
"Fire Burning","Sean Kingston"
"Hey, Soul Sister","Glee Cast"
"Hey Lover","LL Cool J"
"Lose My Breath","Destiny's Child"
"I'll Make Love To You","Boyz II Men"
"I Want You","Savage Garden"
"Gives You Hell","Glee Cast"
"Jaded","Drake"
"Find Your Love","Drake"
"Firework","Glee Cast"
"Locked Out Of Heaven","Bruno Mars"
"Emotions","Mariah Carey"
"I'll Remember (From ""With Honors"")","Madonna"
"Finesse","Bruno Mars & Cardi B"
"It's Your Love","Tim McGraw With Faith Hill"
"How's It Going To Be","Third Eye Blind"
"Lately","Divine"
"Hot Boyz","Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip"
"Lovers And Friends","Lil Jon & The East Side Boyz Featuring Usher & Ludacris"
"Escapade","Janet Jackson"
"Nobody","Keith Sweat Featuring Athena Cage"
"Hard To Say I'm Sorry","Az Yet Featuring Peter Cetera"
"Love Me","Justin Bieber"
"Girl On Fire","Alicia Keys Featuring Nicki Minaj"
"Natural","Imagine Dragons"
"Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz"
"In My Head","Ariana Grande"
"Masterpiece","Atlantic Starr"
"Humpin' Around","Bobby Brown"
"I Wish","Stevie Wonder"
"November Rain","Guns N' Roses"
"I Will Always Love You","Whitney Houston"
"Dreamlover","Mariah Carey"
"Mr. Brightside","The Killers"
"Just The Way You Are","Glee Cast"
"Music","Madonna"
"I'm Your Baby Tonight","Whitney Houston"
"Freak Me","Silk"
"I Have Nothing","Whitney Houston"
"E.T.","Katy Perry Featuring Kanye West"
"Just Like Fire","P!nk"
"Down","Fifth Harmony Featuring Gucci Mane"
"Lose Yourself","Eminem"
"Love Lies","Khalid & Normani"
"If It Makes You Happy","Sheryl Crow"
"Hero","Enrique Iglesias"
"No Hands","Waka Flocka Flame Featuring Roscoe Dash & Wale"
"Love Me Like You Do","Ellie Goulding"
"I Still Love You","Next"
"Love Don't Cost A Thing","Jennifer Lopez"
"Let's Ride","The Game"
"Don't","Ed Sheeran"
"Jump","Van Halen"
"How Do You Talk To An Angel","The Heights"
"No Diggity","BLACKstreet (Featuring Dr. Dre)"
"I Feel It Coming","The Weeknd Featuring Daft Punk"
"It's The Most Wonderful Time Of The Year","Andy Williams"
"Love Somebody","Rick Springfield"
"Hot In Herre","Nelly"
"Earned It (Fifty Shades Of Grey)","The Weeknd"
"Mask Off","Future"
"Family Affair","Sly & The Family Stone"
"I Don't Wanna Cry","Mariah Carey"
"I Turn To You","Christina Aguilera"
"My Sacrifice","Creed"
"Hey Ma","Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya"
"Imma Be","The Black Eyed Peas"
"Happy","Leona Lewis"
"Drive","The Cars"
"Good Enough","Bobby Brown"
"Drop It Like It's Hot","Snoop Dogg Featuring Pharrell"
"My Life Would Suck Without You","Glee Cast"
"Hey Baby (Drop It To The Floor)","Pitbull Featuring T-Pain"
"Heaven","Bryan Adams"
"Nobody's Supposed To Be Here","Deborah Cox"
"If You're Gone","matchbox twenty"
"Lean Back","Terror Squad"
"Jumpman","Drake & Future"
"Every Heartbeat","Amy Grant"
"End Of The Road (From ""Boomerang"")","Boyz II Men"
"Mr. Wendal","Arrested Development"
"Just Another Day","John Mellencamp"
"Excuse Me Miss","JAY-Z"
"I Know","Post Malone"
"If I Ever Fall In Love","Shai"
"If You Go","Jon Secada"
"Freak Like Me","Adina Howard"
"Livin' La Vida Loca","Ricky Martin"
"FourFiveSeconds","Rihanna & Kanye West & Paul McCartney"
"Money","Cardi B"
"My Love","Lionel Richie"
"Looking Through Patient Eyes","P.M. Dawn"
"Ms. Jackson","OutKast"
"I Need A Girl (Part Two)","P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri"
"Miss You","Aaliyah"
"Incomplete","Backstreet Boys"
"Eastside","Benny Blanco, Halsey & Khalid"
"Jingle Bell Rock","Bobby Helms"
"If","Janet Jackson"
"Now And Forever","Richard Marx"
"It Wasn't Me","Shaggy Featuring Ricardo ""RikRok"" Ducent"
"I Know What You Want","Busta Rhymes & Mariah Carey Featuring The Flipmode Squad"
"Hey Ya!","OutKast"
"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr & Zayion McCall"
"Jealous","DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
"Love Song","The Cure"
"If Wishes Came True","Sweet Sensation"
"If You Love Me","Mint Condition"
"I Just Wanna Love U (Give It 2 Me)","JAY-Z"
"Not Gon' Cry (From ""Waiting To Exhale"")","Mary J. Blige"
"Kissin' You","Total"
"Izzo (H.O.V.A.)","JAY-Z"
"Life Is A Highway","Rascal Flatts"
"Happier","Ed Sheeran"
"God's Country","Blake Shelton"
"I Adore Mi Amor","Color Me Badd"
"Give Me One Reason","Tracy Chapman"
"Heartbreaker","Mariah Carey Featuring Jay-Z"
"Give Me Everything","Pitbull Featuring Ne-Yo, Afrojack & Nayer"
"Drive By","Train"
"Hold On","En Vogue"
"I'd Die Without You (From ""Boomerang"")","P.M. Dawn"
"I Wanna Be Down","Brandy"
"Foolish Games/You Were Meant For Me","Jewel"
"Genie In A Bottle","Christina Aguilera"
"Just Like A Pill","P!nk"
"Gangsta Lovin'","Eve Featuring Alicia Keys"
"Miss Independent","Kelly Clarkson"
"Never Leave You - Uh Ooh, Uh Oooh!","Lumidee"
"Meant To Be","Bebe Rexha & Florida Georgia Line"
"Never Be The Same","Camila Cabello"
"Impulsive","Wilson Phillips"
"I Got 5 On It","Luniz"
"Hey Baby","No Doubt Featuring Bounty Killer"
"On Fire","Lil Wayne"
"Stressed Out","twenty one pilots"
"Set Fire To The Rain","Adele"
"All Of Me","John Legend"
"All I Want For Christmas Is You","Mariah Carey"
"Bubbly","Colbie Caillat"
"The Best Things In Life Are Free","Luther Vandross And Janet Jackson With BBD And Ralph Tresvant"
"The Boy Is Mine","Brandy & Monica"
"Nothing Compares 2 U","Sinead O'Connor"
"Motownphilly","Boyz II Men"
"Live And Learn","Joe Public"
"Mambo No. 5 (A Little Bit Of...)","Lou Bega"
"He Wasn't Man Enough","Toni Braxton"
"I'm With You","Avril Lavigne"
"Obsession (No Es Amor)","Frankie J Featuring Baby Bash"
"Like You","Bow Wow Featuring Ciara"
"Hotel Room Service","Pitbull"
"Listen To Your Heart","Roxette"
"How Do U Want It/California Love","2Pac Featuring K-Ci And JoJo"
"Last Night (From ""The Nutty Professor"")","Az Yet"
"No, No, No","Destiny's Child"
"It's My Life","Bon Jovi"
"Here Without You","3 Doors Down"
"If I Ain't Got You","Alicia Keys"
"Gangnam Style","PSY"
"Let It Go","Demi Lovato"
"Funkdafied","Da Brat"
"In My Bed","Dru Hill"
"Get Ur Freak On","Missy ""Misdemeanor"" Elliott"
"No Such Thing","John Mayer"
"How We Do","The Game Featuring 50 Cent"
"It's Not Over","Daughtry"
"Knock You Down","Keri Hilson Featuring Kanye West & Ne-Yo"
"No Air","Glee Cast"
"Not A Bad Thing","Justin Timberlake"
"I'm Every Woman (From ""The Bodyguard"")","Whitney Houston"
"I'm Ready","Tevin Campbell"
"Have You Ever Really Loved A Woman?","Bryan Adams"
"Every Little Thing I Do","Soul For Real"
"I'm Real","Jennifer Lopez Featuring Ja Rule"
"Numb","Linkin Park"
"I Know You Want Me (Calle Ocho)","Pitbull"
"I Kissed A Girl","Glee Cast"
"Habits (Stay High)","Tove Lo"
"Hotline Bling","Drake"
"It Must Have Been Love (From ""Pretty Woman"")","Roxette"
"I'm Too Sexy","Right Said Fred"
"Mouth","Merril Bainbridge"
"No Scrubs","TLC"
"It Feels So Good","Sonique"
"Like I Love You","Justin Timberlake"
"Jenny From The Block","Jennifer Lopez Featuring Styles & Jadakiss"
"Mesmerize","Ja Rule Featuring Ashanti"
"In Da Club","50 Cent"
"Into You","Fabolous Featuring Tamia Or Ashanti"
"Hey Mama","The Black Eyed Peas"
"Last Friday Night (T.G.I.F.)","Katy Perry"
"Down On Me","Jeremih Featuring 50 Cent"
"Last Night","Mar-Keys"
"I'd Do Anything For Love (But I Won't Do That)","Meat Loaf"
"Getto Jam","Domino"
"I'll Be There For You/You're All I Need To Get By","Method Man Featuring Mary J. Blige"
"I Try","Macy Gray"
"Naughty Girl","Beyonce"
"Jesus Walks","Kanye West"
"Don't You Worry Child","Swedish House Mafia Featuring John Martin"
"Good For Me","Amy Grant"
"My Love Is The Shhh!","Somethin' For The People Featuring Trina & Tamara"
"I Wanna Love You Forever","Jessica Simpson"
"Fill Me In","Craig David"
"Get The Party Started","P!nk"
"I'm Gonna Be Alright","Jennifer Lopez Featuring Nas"
"My Place","Nelly Featuring Jaheim"
"How To Love","Lil Wayne"
"I'm Not The Only One","Sam Smith"
"Macarena (Bayside Boys Mix)","Los Del Rio"
"Everything You Want","Vertical Horizon"
"Lady Marmalade","Christina Aguilera, Lil' Kim, Mya & P!nk"
"My Immortal","Evanescence"
"My Happy Ending","Avril Lavigne"
"Give Your Heart A Break","Demi Lovato"
"I Don't F**k With You","Big Sean Featuring E-40"
"Mi Gente","J Balvin & Willy William Featuring Beyonce"
"I Knew I Loved You","Savage Garden"
"No One","Alicia Keys"
"Kiss Me Thru The Phone","Soulja Boy Tell 'em Featuring Sammie"
"Last Kiss","Taylor Swift"
"Ice Ice Baby","Vanilla Ice"
"I Swear","All-4-One"
"I Want It That Way","Backstreet Boys"
"Follow Me","Uncle Kracker"
"In Those Jeans","Ginuwine"
"I Don't Wanna Know","Mario Winans Featuring Enya & P. Diddy"
"Let's Go","Trick Daddy Featuring Lil Jon & Twista"
"Far Away","Nickelback"
"Need You Now","Glee Cast"
"Get Low","Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida"
"Love Takes Time","Mariah Carey"
"How You Gonna Act Like That","Tyrese"
"Holidae In","Chingy Featuring Ludacris & Snoop Dogg"
"Move Ya Body","Nina Sky Featuring Jabba"
"I Don't Want To Be","Gavin DeGraw"
"I Wanna Go","Britney Spears"
"F**kin Problems","A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
"Gonna Make You Sweat (Everybody Dance Now)","C+C Music Factory"
"Make It Happen","Mariah Carey"
"Jumpin', Jumpin'","Destiny's Child"
"I Need A Girl (Part One)","P. Diddy Featuring Usher & Loon"
"Down 4 U","Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita"
"Low","Kelly Clarkson"
"Mockingbird","Eminem"
"Feel Good Inc","Gorillaz"
"Everybody Talks","Neon Trees"
"Lucid Dreams","Juice WRLD"
"From A Distance","Bette Midler"
"Fantastic Voyage","Coolio"
"Every Morning","Sugar Ray"
"How You Remind Me","Nickelback"
"Gossip Folks","Missy ""Misdemeanor"" Elliott Featuring Ludacris"
"Drift Away","Uncle Kracker Featuring Dobie Gray"
"Magic Stick","Lil' Kim Featuring 50 Cent"
"I Like That","Houston Featuring Chingy, Nate Dogg & I-20"
"Oh","Ciara Featuring Ludacris"
"Meet Me Halfway","The Black Eyed Peas"
"Ni**as in Paris","Jay Z Kanye West"
"Gangsta Lean","DRS"
"I Don't Ever Want To See You Again","Uncle Sam"
"No More","Ruff Endz"
"Hanging By A Moment","Lifehouse"
"Just Dance","Lady Gaga Featuring Colby O'Donis"
"Good Girls Go Bad","Cobra Starship Featuring Leighton Meester"
"It's So Hard To Say Goodbye To Yesterday","Boyz II Men"
"My Lovin' (You're Never Gonna Get It)","En Vogue"
"If I Had No Loot","Tony Toni Tone"
"Gin And Juice","Snoop Doggy Dogg"
"Invisible Man","98 Degrees"
"Here We Go","Funkmaster Flex Presents Khadejia Featuring Product"
"I Need To Know","Marc Anthony"
"Drops Of Jupiter (Tell Me)","Train"
"Oh Boy","Cam'Ron Featuring Juelz Santana"
"Lips Of An Angel","Jack Ingram"
"Hands To Myself","Selena Gomez"
"Most Girls","Hailee Steinfeld"
"Issues","Meek Mill"
"Fortunate","Maxwell"
"Independent Women Part I","Destiny's Child"
"Livin' It Up","Ja Rule Featuring Case"
"In The End","Linkin Park"
"Foolish","Ashanti"
"Me, Myself And I","Beyonce"
"Lonely No More","Rob Thomas"
"I'm On One","DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
"Informer","Snow"
"Hey Mr. D.J.","Zhane"
"Nobody Knows","The Tony Rich Project"
"I Belong To You (Every Time I See Your Face)","Rome"
"It's Been Awhile","Staind"
"Fergalicious","Fergie"
"Hey There Delilah","Plain White T's"
"Love Me Harder","Ariana Grande & The Weeknd"
"I Took A Pill In Ibiza","Mike Posner"
"If You Asked Me To","Celine Dion"
"Let Me Blow Ya Mind","Eve Featuring Gwen Stefani"
"Live Your Life","T.I. Featuring Rihanna"
"Hard","Rihanna Featuring Jeezy"
"Fight Song","Rachel Platten"
"No Limit","Usher Featuring Young Thug"
"iSpy","KYLE Featuring Lil Yachty"
"Let It Rock","Chuck Berry"
"More Than Words","Extreme"
"If You Had My Love","Jennifer Lopez"
"My Love Is Your Love","Whitney Houston"
"Kryptonite","3 Doors Down"
"Nothin'","N.O.R.E."
"Grenade","Bruno Mars"
"I Cry","Flo Rida"
"It's Goin' Down","Descendants 2 Cast"
"Gucci Gang","Lil Pump"
"Fireflies","Fleetwood Mac"
"It's Gonna Be Me","'N Sync"
"Get Busy","Sean Paul"
"Hotel","Cassidy Featuring R. Kelly"
"Hollaback Girl","Gwen Stefani"
"Moment 4 Life","Nicki Minaj Featuring Drake"
"Good Feeling","Flo Rida"
"Mo Bamba","Sheck Wes"
"I'm Yours","Elvis Presley"
"Give It To Me","The Mob"
"I Don't Wanna Fight (From ""What's Love Got To Do With It"")","Tina Turner"
"Hit 'Em Up Style (Oops!)","Blu Cantrell"
"Love In This Club","Usher Featuring Young Jeezy"
"Me, Myself & I","G-Eazy x Bebe Rexha"
"Never Forget You","Zara Larsson & MNEK"
"Love On The Brain","Rihanna"
"Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
"Heartbreak Hotel","The Jacksons"
"Hold You Tight","Tara Kemp"
"Hip Hop Hooray","Naughty By Nature"
"Grillz","Nelly Featuring Paul Wall, Ali & Gipp"
"Hips Don't Lie","Shakira Featuring Wyclef Jean"
"London Bridge","Fergie"
"Makes Me Wonder","Maroon 5"
"Hold My Hand","Michael Jackson Duet With Akon"
"Just Give Me A Reason","P!nk Featuring Nate Ruess"
"G.D.F.R.","Flo Rida Featuring Sage The Gemini & Lookas"
"I Don't Mind","James Brown And The Famous Flames"
"O.P.P.","Naughty By Nature"
"Gotta Tell You","Samantha Mumba"
"Hate It Or Love It","The Game Featuring 50 Cent"
"My Humps","The Black Eyed Peas"
"Lollipop","Lil Wayne Featuring Static Major"
"Lights","Ellie Goulding"
"Glad You Came","The Wanted"
"Locked Away","R. City Featuring Adam Levine"
"Fallin'","Connie Francis"
"Finally","T.G. Sheppard"
"I Don't Have The Heart","James Ingram"
"Have I Told You Lately","Rod Stewart"
"Never Lie","Immature"
"Lose Control","Missy Elliott Featuring Ciara & Fat Man Scoop"
"Everytime We Touch","Cascada"
"Mrs. Officer","Lil Wayne Featuring Bobby Valentino & Kidd Kidd"
"F**kin' Perfect","P!nk"
"I'm The Only One","Glee Cast"
"Kiss From A Rose","Seal"
"Loungin","LL Cool J"
"It's Not Right But It's Okay","Whitney Houston"
"Just A Lil Bit","50 Cent"
"I'm N Luv (Wit A Stripper)","T-Pain Featuring Mike Jones"
"Ms. New Booty","Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark"
"Irreplaceable","Beyonce"
"Let You Down","NF"
"I Wanna Sex You Up (From ""New Jack City"")","Color Me Badd"
"Just A Friend 2002","Mario"
"Move B***h","Ludacris Featuring Mystikal & Infamous 2.0"
"Get It Poppin'","Fat Joe Featuring Nelly"
"Hot N Cold","Katy Perry"
"Fancy","Iggy Azalea Featuring Charli XCX"
"Halo","Jordan Smith"
"High Enough","Damn Yankees"
"Love Will Never Do (Without You)","Janet Jackson"
"How Do I Live","LeAnn Rimes"
"Frontin'","Pharrell Featuring Jay-Z"
"Nothin' On You","B.o.B Featuring Bruno Mars"
"Feel It Still","Portugal. The Man"
"I Like The Way (The Kissing Game)","Hi-Five"
"I'm Gonna Be (500 Miles)","The Proclaimers"
"Just Kickin' It","Xscape"
"Let Her Cry","Hootie & The Blowfish"
"Kiss Me","Sixpence None The Richer"
"Lonely","Akon"
"Feel So Close","Calvin Harris"
"Ho Hey","The Lumineers"
"New Rules","Dua Lipa"
"Knockin' Da Boots","H-Town"
"Linger","The Cranberries"
"Mmm Mmm Mmm Mmm","Crash Test Dummies"
"Lean Wit It, Rock Wit It","Dem Franchize Boyz Featuring Lil Peanut & Charlay"
"Let Me Love You (Until You Learn To Love Yourself)","Glee Cast"
"Needed Me","Rihanna"
"Love Is (From ""Beverly Hills, 90210"")","Vanessa Williams/Brian McKnight"
"I'll Never Get Over You (Getting Over Me)","Expose"
"Get It On Tonite","Montell Jordan"
"Ignition","R. Kelly"
"Grind With Me","Pretty Ricky"
"Gold Digger","Kanye West Featuring Jamie Foxx"
"Like A G6","Far*East Movement Featuring Cataracs & Dev"
"Just Can't Get Enough","The Black Eyed Peas"
"I Wanna Be Rich","Calloway"
"I Love Your Smile","Shanice"
"He's Mine","MoKenStef"
"Luv U Better","LL Cool J"
"Let Me Hold You","Bow Wow Featuring Omarion"
"How To Save A Life","The Fray"
"How Far We've Come","matchbox twenty"
"Like You'll Never See Me Again","Alicia Keys"
"Lips Are Movin","Meghan Trainor"
"I Hate U I Love U","gnash Featuring Olivia O'Brien"
"It Ain't Me","Kygo x Selena Gomez"
"I'm So Into You","SWV"
"Missing","Everything But The Girl"
"I Wanna Know","Joe"
"Love Of My Life (An Ode To Hip Hop)","Erykah Badu Featuring Common"
"Goodies","Ciara Featuring Petey Pablo"
"Me & U","Cassie"
"Here","Rascal Flatts"
"Girls Like You","Maroon 5 Featuring Cardi B"
"Giving Him Something He Can Feel","En Vogue"
"Nuthin' But A ""G"" Thang","Dr. Dre"
"I Love You Always Forever","Donna Lewis"
"Havana","Kenny G"
"Milkshake","Kelis"
"I Wanna Love You","Akon Featuring Snoop Dogg"
"Let Her Go","Passenger"
"Like I'm Gonna Lose You","Meghan Trainor Featuring John Legend"
"The Climb","Miley Cyrus"
"The Edge Of Glory","Lady Gaga"
"The First Cut Is The Deepest","Rod Stewart"
"The First Night","Monica"
"The First Time","Surface"
"The Freshmen","The Verve Pipe"
"The Game Of Love","Santana Featuring Michelle Branch"
"The Git Up","Blanco Brown"
"The Heart Wants What It Wants","Selena Gomez"
"The Hills","The Weeknd"
"The Lazy Song","Bruno Mars"
"The Man","Aloe Blacc"
"The Middle","Jimmy Eat World"
"The Monster","Eminem Featuring Rihanna"
"The Most Beautiful Girl In The World","Prince"
"The Motto","Drake Featuring Lil Wayne"
"The One I Gave My Heart To","Aaliyah"
"The One That Got Away","Jake Owen"
"The One","Backstreet Boys"
"The Power Of Love","Celine Dion"
"The Power","Snap!"
"The Real Slim Shady","Eminem"
"The Reason","Hoobastank"
"The River Of Dreams","Billy Joel"
"The Show Goes On","Lupe Fiasco"
"The Sign","Ace Of Base"
"The Sweet Escape","Gwen Stefani Featuring Akon"
"The Time (Dirty Bit)","The Black Eyed Peas"
"The Way I Are","Timbaland Featuring Keri Hilson"
"The Way You Do The Things You Do","Rita Coolidge"
"The Way You Love Me","Faith Hill"
"The Way You Move","OutKast Featuring Sleepy Brown"
"The Way","Ariana Grande Featuring Mac Miller"
"Then The Morning Comes","Smash Mouth"
"There It Go! (The Whistle Song)","Juelz Santana"
"There You Go","Edwin Starr"
"There's Nothing Holdin' Me Back","Shawn Mendes"
"Thinking Out Loud","Ed Sheeran"
"This Ain't A Scene, It's An Arms Race","Fall Out Boy"
"This D.J.","Warren G"
"This I Promise You","'N Sync"
"This Is How We Do It","Montell Jordan"
"This Is What You Came For","Calvin Harris Featuring Rihanna"
"This Is Why I'm Hot","Mims"
"This Kiss","Carly Rae Jepsen"
"This Love","Bad Company"
"This Used To Be My Playground","Madonna"
"Thnks Fr Th Mmrs","Fall Out Boy"
"Thong Song","Sisqo"
"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz"
"Thunder","Boys Like Girls"
"Till The World Ends","Britney Spears Featuring Nicki Minaj & Ke$ha"
"Timber","Pitbull Featuring Ke$ha"
"Keep Their Heads Ringin' (From ""Friday"")","Dr. Dre"
"Insensitive (From ""Bed Of Roses"")","Jann Arden"
"Money Maker","Ludacris Featuring Pharrell"
"Make Me Better","Fabolous Featuring Ne-Yo"
"LoveGame","Lady Gaga"
"F**k You! (Forget You)","Cee Lo Green"
"Hot Boy","Bobby Shmurda"
"Honey, I'm Good.","Andy Grammer"
"Ex's & Oh's","Elle King"
"My House","Flo Rida"
"Hey Look Ma, I Made It","Panic! At The Disco"
"Love Is On The Way","Saigon Kick"
"Dre Day","Dr. Dre"
"Here Comes The Hotstepper (From ""Ready To Wear"")","Ini Kamoze"
"Gimme The Light","Sean Paul"
"Locked Up","Akon Featuring Styles P."
"It Ends Tonight","The All-American Rejects"
"Mad","Ne-Yo"
"High Hopes","Frank Sinatra ""and a bunch of kids"""
"Jump Around","House Of Pain"
"Laffy Taffy","D4L"
"I Write Sins Not Tragedies","Panic! At The Disco"
"Glamorous","Fergie Featuring Ludacris"
"Hate That I Love You","Rihanna Featuring Ne-Yo"
"He Loves U Not","Dream"
"Freek-A-Leek","Petey Pablo"
"Leave (Get Out)","JoJo"
"Independent","Webbie Featuring Lil' Phat & Lil' Boosie"
"Feel This Moment","Pitbull Featuring Christina Aguilera"
"I'm Sprung","T-Pain"
"Kiss Kiss","Chris Brown Featuring T-Pain"
"If I Were A Boy","Beyonce"
"Latch","Disclosure Featuring Sam Smith"
"Lean On","Major Lazer & DJ Snake Featuring MO"
"In The Night","The Weeknd"
"ME!","Taylor Swift Featuring Brendon Urie"
"Womanizer","Britney Spears"
"TiK ToK","Ke$ha"
"Wonderful","Adam Ant"
"Work From Home","Fifth Harmony Featuring Ty Dolla $ign"
"Work It","Missy ""Misdemeanor"" Elliott"
"Work Out","J. Cole"
"Work","A$AP Ferg"
"Worth It","Fifth Harmony Featuring Kid Ink"
"Wow.","Post Malone"
"Wrecking Ball","Miley Cyrus"
"XO TOUR Llif3","Lil Uzi Vert"
"Yeah!","Usher Featuring Lil Jon & Ludacris"
"Yes Indeed","Lil Baby & Drake"
"Yo (Excuse Me Miss)","Chris Brown"
"You And I","Eddie Rabbitt With Crystal Gayle"
"You And Me","Alice Cooper"
"You Are Not Alone","Michael Jackson"
"You Belong With Me","Taylor Swift"
"You Don't Know My Name","Alicia Keys"
"You Found Me","The Fray"
"You Gotta Be","Des'ree"
"You Learn/You Oughta Know","Alanis Morissette"
"You Make Me Feel...","Cobra Starship Featuring Sabi"
"You Make Me Wanna...","Usher"
"You Mean The World To Me","David Houston"
"You Need To Calm Down","Taylor Swift"
"You Sang To Me","Marc Anthony"
"You Want This/70's Love Groove","Janet Jackson"
"You'll See","Madonna"
"You're Beautiful","James Blunt"
"You're In Love","Ratt"
"You're Makin' Me High/Let It Flow","Toni Braxton"
"You're Still The One","Shania Twain"
"You're The One","Guerilla Black Featuring Mario Winans"
"You","Bonnie Raitt"
"Young Forever","Jay-Z + Mr. Hudson"
"Young, Wild & Free","Snoop Dogg & Wiz Khalifa Featuring Bruno Mars"
"Youngblood","5 Seconds Of Summer"
"What's It Gonna Be?!","Busta Rhymes Featuring Janet"
"What's Luv?","Fat Joe Featuring Ashanti"
"What's My Name?","Rihanna Featuring Drake"
"Whatcha Say","Jason Derulo"
"Whatever You Like","Anya Marina"
"Whatta Man","Salt-N-Pepa Featuring En Vogue"
"When A Man Loves A Woman","Bette Midler"
"When Can I See You","Babyface"
"When I Grow Up","NF"
"When I Was Your Man","Bruno Mars"
"When I'm Gone","3 Doors Down"
"When The Lights Go Out","Five"
"When You Love A Woman","Journey"
"Whenever, Wherever","Shakira"
"Where Are U Now","Skrillex & Diplo With Justin Bieber"
"Where Do You Go","Cher"
"Where Have All The Cowboys Gone?","Paula Cole"
"Where Have You Been","Rihanna"
"Where Is The Love?","The Black Eyed Peas"
"Where My Girls At?","702"
"Where The Party At","Jagged Edge With Nelly"
"Where'd You Go","Fort Minor Featuring Holly Brook"
"Wherever You Will Go","The Calling"
"Whistle","Flo Rida"
"Who Knew","P!nk"
"Who Will Save Your Soul","Jewel"
"Whoomp! (There It Is)","Tag Team"
"Whoot, There It Is","95 South"
"Why Don't You & I","Santana Featuring Alex Band Or Chad Kroeger"
"Why I Love You So Much/Ain't Nobody","Monica"
"Wide Awake","Katy Perry"
"Wiggle","Jason Derulo Featuring Snoop Dogg"
"Wild Night","John Mellencamp With Me'Shell Ndegeocello"
"Wild Ones","Flo Rida Featuring Sia"
"Wild Thoughts","DJ Khaled Featuring Rihanna & Bryson Tiller"
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee"
"Wildest Dreams","Taylor Swift"
"Wishing On A Star","The Cover Girls"
"With Arms Wide Open","Creed"
"With You","Chris Brown"
"Without Me","Eminem"
"Without You/Never Forget You","Mariah Carey"
"Without You","David Bowie"
"Your Body's Callin'","R. Kelly"
"Your Love Is My Drug","Ke$ha"
"ZEZE","Kodak Black Featuring Travis Scott & Offset"
"Time After Time","Chris Montez"
"Time Of Our Lives","Pitbull & Ne-Yo"
"Tipsy","J-Kwon"
"Titanium","David Guetta Featuring Sia"
"To Be With You","Mr. Big"
"Together Again","Bobby Sherman"
"Tom's Diner","DNA Featuring Suzanne Vega"
"Tonight (I'm Lovin' You)","Enrique Iglesias Featuring Ludacris & DJ Frank E"
"Tonight Tonight","Bill Champlin"
"Too Close","Alex Clare"
"Too Good At Goodbyes","Sam Smith"
"Too Good","Drake Featuring Rihanna"
"Too Little Too Late","Barenaked Ladies"
"Tootsee Roll","69 Boyz"
"Total Eclipse Of The Heart","Bonnie Tyler"
"Touch It","Busta Rhymes"
"Touch My Body","Mariah Carey"
"Toxic","Britney Spears"
"Trampoline","SHAED"
"Trap Queen","Fetty Wap"
"Treasure","Bruno Mars"
"Treat You Better","Shawn Mendes"
"Trippin'","Total Featuring Missy Elliott"
"Truly Madly Deeply","Savage Garden"
"Truth Hurts","Lizzo"
"Try Again","Aaliyah"
"Try","Colbie Caillat"
